rules	support	confidence	lift	count
{멜로망스(Melomance)} => {Ed Sheeran}	0.0636704119850187	0.693877551020408	4.46422424391443	34
{멜로망스(Melomance)} => {WINNER}	0.0599250936329588	0.653061224489796	3.48734693877551	32
{멜로망스(Melomance)} => {볼빨간사춘기}	0.0767790262172285	0.836734693877551	4.09923235349186	41
{멜로망스(Melomance)} => {BLACKPINK}	0.0767790262172285	0.836734693877551	4.09923235349186	41
{멜로망스(Melomance)} => {Red Velvet (레드벨벳)}	0.0711610486891386	0.775510204081633	3.1612400685465	38
{멜로망스(Melomance)} => {TWICE(트와이스)}	0.0786516853932584	0.857142857142857	3.01127819548872	42
{멜로망스(Melomance)} => {아이유(IU)}	0.0617977528089888	0.673469387755102	1.23585104144751	33
{로꼬(LOCO)} => {AOA}	0.052434456928839	0.7	3.06393442622951	28
{하이포(HIGH4..} => {아이유(IU)}	0.0599250936329588	0.780487804878049	1.43223535328137	32
{청하} => {뉴이스트(NU'EST)}	0.0674157303370786	0.75	5.41216216216216	36
{청하} => {뉴이스트 W}	0.0692883895131086	0.770833333333333	5.48833333333333	37
{청하} => {Ed Sheeran}	0.0599250936329588	0.666666666666667	4.28915662650602	32
{청하} => {iKON}	0.0543071161048689	0.604166666666667	3.98302469135802	29
{청하} => {WINNER}	0.0561797752808989	0.625	3.3375	30
{청하} => {볼빨간사춘기}	0.0767790262172285	0.854166666666667	4.18463302752294	41
{청하} => {BLACKPINK}	0.0749063670411985	0.833333333333333	4.08256880733945	40
{청하} => {마마무(Mamamoo)}	0.0561797752808989	0.625	2.71341463414634	30
{청하} => {Red Velvet (레드벨벳)}	0.0580524344569288	0.645833333333333	2.63263358778626	31
{청하} => {TWICE(트와이스)}	0.0861423220973783	0.958333333333333	3.36677631578947	46
{청하} => {아이유(IU)}	0.0711610486891386	0.791666666666667	1.45274914089347	38
{버벌진트(Verbal Jint)} => {허각}	0.052434456928839	0.666666666666667	2.52482269503546	28
{버벌진트(Verbal Jint)} => {Maroon 5}	0.0561797752808989	0.714285714285714	2.05069124423963	30
{Ariana Grande} => {아이유(IU)}	0.0599250936329588	0.695652173913043	1.27655759748991	32
{Adam Levine} => {Zion.T}	0.052434456928839	0.636363636363636	3.23636363636364	28
{Adam Levine} => {AOA}	0.0543071161048689	0.659090909090909	2.88487332339791	29
{Adam Levine} => {아이유(IU)}	0.0580524344569288	0.704545454545455	1.29287722586692	31
{럼블 피쉬} => {카라(Kara)}	0.050561797752809	0.613636363636364	3.21256684491979	27
{젝스키스} => {헤이즈(Heize)}	0.0692883895131086	0.685185185185185	3.55231930960086	37
{젝스키스} => {볼빨간사춘기}	0.0655430711610487	0.648148148148148	3.17533129459735	35
{젝스키스} => {BLACKPINK}	0.0655430711610487	0.648148148148148	3.17533129459735	35
{젝스키스} => {Red Velvet (레드벨벳)}	0.0674157303370786	0.666666666666667	2.7175572519084	36
{젝스키스} => {TWICE(트와이스)}	0.0842696629213483	0.833333333333333	2.92763157894737	45
{젝스키스} => {아이유(IU)}	0.0617977528089888	0.611111111111111	1.12142038946163	33
{Wanna One(워너원)} => {뉴이스트(NU'EST)}	0.0842696629213483	0.775862068965517	5.59878844361603	45
